nombre,codigo,categoria,imagenes_urls
Plancha | TrueGlide | BLACK DECKER | IRBD350,IRBD350,Black+Decker,https://img.pacifiko.com/PROD/resize/1/1000x1000/NDI2MDYyNj_1770765527.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/NDI2MDYyNj_1770765536.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/NDI2MDYyNj_1770765544.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/NDI2MDYyNj_1770765553.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/NDI2MDYyNj_1770765577.png
"BLACK+DECKER 20V MAX Matrix Quick Connect System, Cordless Lithium Power Drill and Driver, Battery Included (BDCDMT120C) - Nombre de estilo Drill Kit (Orange)",AFBD82,Black+Decker,https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_1.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_2.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_3.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_4.jpg
"BLACK+DECKER 20V MAX Matrix Quick Connect System, Cordless Lithium Power Drill and Driver, Battery Included (BDCDMT120C) - Nombre de estilo Drill Kit (Orange)",BL1600BGLA,Black+Decker,https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_1.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_2.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_3.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_4.jpg
"BLACK+DECKER 20V MAX Matrix Quick Connect System, Cordless Lithium Power Drill and Driver, Battery Included (BDCDMT120C) - Nombre de estilo Drill Kit (Orange)",BL1600BGLA,Black+Decker,https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_1.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_2.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_3.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_4.jpg
"BLACK+DECKER 20V MAX Matrix Quick Connect System, Cordless Lithium Power Drill and Driver, Battery Included (BDCDMT120C) - Nombre de estilo Drill Kit (Orange)",wm120b,Black+Decker,https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_1.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_2.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_3.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_4.jpg
FC PAINTS,PIIR128,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/1/250x250/ODE5Nzg4NG_1_1776266708.png"
Ollas a presión,PICM12PN,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/0/250x250/c25f7ad9-a2e1-4421-8a82-88cd9197d17e1679537064.jpg"
Cerradura pocket sin llave para puerta de paso,PICM12DN,PICCA,"https://img.pacifiko.com/PROD/resize/1/1000x1000/NGM0YjZlNW_1728485770.jpeg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/1/250x250/NGM0YjZlNW_1728485770.jpeg"
Ollas a presión,PI0020VMN,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/0/250x250/c25f7ad9-a2e1-4421-8a82-88cd9197d17e1679537064.jpg"
"Bateria De Cocina De Aluminio, De 7 Piezas, Con Interior Antiadherente, Oster",,Chef Chef,"https://img.pacifiko.com/PROD/resize/1/1000x1000/NGE4ZTk4ND_1.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/1/250x250/NGE4ZTk4ND_1.png"
Ollas a presión,PI0010BTN,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/0/250x250/c25f7ad9-a2e1-4421-8a82-88cd9197d17e1679537064.jpg"
Batería de cocina PICCA 10 piezas | LAZIO Color Azul con Puntos Plateados,PI0010BTA,PICCA,"https://img.pacifiko.com/PROD/resize/0/1000x1000/10ba2e4d-741b-4a6f-8338-4cc0374682da1696268697.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/f00181e8-5c4a-4949-8224-a3eaae34cbc31688783541.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1"
"Sarten De 26cm Con Recubrimiento Antiadherente, PI0026STV Picca",PI0026BCG,PICCA,"https://img.pacifiko.com/PROD/resize/0/1000x1000/PI0022STA..jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/PI0022STA.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/PI0022STA2.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Equipa tu Cocina,PI007OCR,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://cdn.pacifiko.com/image/catalog/instagram-footer16-icon.svg"
Limpiaparabrisas y Partes,PI006BMG,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/1/250x250/YzllNmRhYW_1784561259.jpeg"
"Laptop HP Elitebook, 14 Pulgadas, Core I7 1355U, 16GB RAM, 1TB SSD, W11 Pro",PI005OPA,PICCA,https://img.pacifiko.com/PROD/resize/1/1000x1000/MmZmODYzYj_1.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/MmZmODYzYj_2.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/MmZmODYzYj_3.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/MmZmODYzYj_4.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/MmZmODYzYj_5.png
Gravastar,PI005OPG,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/1/250x250/B0DPG7RN5M.jpg"
"Audífonos Inalámbricos Xiaomi Redmi Buds 6, Cancelación De Ruido, Color Negro",PI003SSTN,PICCA,https://img.pacifiko.com/PROD/resize/1/1000x1000/ZTcyZDNmMW_1.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/ZTcyZDNmMW_2.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/ZTcyZDNmMW_3.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/ZTcyZDNmMW_4.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/ZTcyZDNmMW_5.png
"Vitaminas, Vitafer L Caja De 16 Sachets 10Ml",PI003SSTC,PICCA,https://img.pacifiko.com/PROD/resize/1/1000x1000/YTY0NGExNG_1.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/YTY0NGExNG_2.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/YTY0NGExNG_3.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/YTY0NGExNG_4.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png
"Sarten De 26cm Con Recubrimiento Antiadherente, PI0026STV Picca",PI003SSTV,PICCA,"https://img.pacifiko.com/PROD/resize/0/1000x1000/PI0022STA..jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/PI0022STA.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/PI0022STA2.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Sarten Picca 14 cm / color Azul,PI0014SMA,PICCA,"https://img.pacifiko.com/PROD/resize/0/1000x1000/67a9e58a-49e1-4514-95c8-6b1038011ea11696111816.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/b3ce8d5e-e3de-45fc-bae1-3018cd428f941696111826.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1"
Equipa tu Cocina,PI003SSTB,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://cdn.pacifiko.com/image/catalog/instagram-footer16-icon.svg"
Equipa tu Cocina,PI003SSTR,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://cdn.pacifiko.com/image/catalog/instagram-footer16-icon.svg"
"Sarten De 26cm Con Recubrimiento Antiadherente, PI0026STV Picca",PI004BTA,PICCA,"https://img.pacifiko.com/PROD/resize/0/1000x1000/PI0022STA..jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/PI0022STA.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/PI0022STA2.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Juego De Sartenes Picca Gravina 3 Piezas Caramelo,PI003SSMC,PICCA,"https://img.pacifiko.com/PROD/resize/1/1000x1000/MmZjZTdjOD.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/1/250x250/MmZjZTdjOD.png"
Equipa tu Cocina,PI003SSMP,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://cdn.pacifiko.com/image/catalog/instagram-footer16-icon.svg"
"Silbato Electrónico, Weston",PI003BTV,PICCA,"https://img.pacifiko.com/PROD/resize/1/1000x1000/YmMwODE4MT.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/1/250x250/YmMwODE4MT.jpg"
"Adaptador USB 3.0 A USB Tipo C, Steren",PI007SCAP,PICCA,"https://img.pacifiko.com/PROD/resize/1/1000x1000/YmRlMjQ4NT_510.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/1/250x250/YmRlMjQ4NT_510.jpg"
Sartenes de Cocina,PI003SSTD,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/0/250x250/3d7a3270-90ab-4349-9171-9a257810ac861708288568.jpg"
Picca set de 3 sartenes cerdeña azul,PI003SSTB,PICCA,"https://img.pacifiko.com/PROD/resize/1/1000x1000/_1766772099.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/_1766771904.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1"
"Sarten De 26cm Con Recubrimiento Antiadherente, PI0026STV Picca",PI005OPV,PICCA,"https://img.pacifiko.com/PROD/resize/0/1000x1000/PI0022STA..jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/PI0022STA.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/PI0022STA2.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
FC PAINTS,PIIR128,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/1/250x250/ODE5Nzg4NG_1_1776266708.png"
"Bocina Portatil COMPAQ 15 W, 1800 Mah, Resistente Al Agua IPX6",,,https://img.pacifiko.com/PROD/resize/1/1000x1000/NGE5YWViMT_1.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/NGE5YWViMT_2.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/NGE5YWViMT_3.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/NGE5YWViMT_4.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png
"Quitapelusas Inalámbrico De Telas, Color Blanco, Conair",FP1200,,https://img.pacifiko.com/PROD/resize/0/1000x1000/74108269119.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/74108269119%20(2).jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/74108269119%20(6).jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/74108269119%20(4).jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/74108269119%20(3).jpg
Gravastar,PI005OPG,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/1/250x250/B0DPG7RN5M.jpg"
Ollas a presión,PI0010BTN,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/0/250x250/c25f7ad9-a2e1-4421-8a82-88cd9197d17e1679537064.jpg"
Equipa tu Cocina,PI007OCR,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://cdn.pacifiko.com/image/catalog/instagram-footer16-icon.svg"
Electrodomésticos,BL0877,Black+Decker,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://cdn.pacifiko.com/image/catalog/ORG-ELECTROD-BLACK.png"
Ollas a presión,PI0018VPN,PICCA,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/0/250x250/c25f7ad9-a2e1-4421-8a82-88cd9197d17e1679537064.jpg"
